Title,Year,Review
Zodiac,2007,"Fincher's obsessive, methodical crime procedural."
The Invisible Guest,2016,Tightly engineered Spanish mystery with constant reversals.
Wild Tales,2014,Argentine revenge anthology combining escalation and black comedy.
The Big Short,2015,Cynical systems analysis presented as propulsive comedy.
Parasite,2019,Exceptionally precise class thriller that repeatedly changes genre.
The Aura,2005,Argentine heist thriller about a taxidermist with a perfect memory who inherits a real robbery plan.
Icarus,2017,Documentary that unexpectedly becomes a geopolitical conspiracy thriller.
Paths of Glory,1957,"Kubrick, warfare, institutional injustice and courtroom conflict."
Andhadhun,2018,Unpredictable Indian crime comedy about a pianist entangled in a murder.
Being John Malkovich,1999,The clearest unseen companion to Adaptation and Eternal Sunshine.
The Secret in Their Eyes,2009,Argentine crime mystery with an outstanding long-term payoff.
Witness for the Prosecution,1957,Compact courtroom mystery designed around reversals.
Nightcrawler,2014,"Sociopathic entrepreneurship, media satire and Fincher-like control."
Drishyam,2013,Elaborate battle of inference between a family and the police.
Memories of Murder,2003,Darkly funny serial-killer procedural and natural companion to Zodiac.
Oldboy,2003,Revenge mystery organized around an enormous central revelation.
The Lives of Others,2006,Gripping surveillance drama with institutional and moral conflict.
The Handmaiden,2016,Elaborate deception narrative repeatedly reinterpreted from new perspectives.
Margin Call,2011,Intelligent people negotiating an institutional catastrophe through dialogue.
Whiplash,2014,Escalation and psychological combat delivered with thriller intensity.
The Imposter,2012,Documentary mystery so strange that it resembles a scripted thriller.
Elite Squad,2007,Propulsive Brazilian police drama and the clearest follow-up to City of God.
Headhunters,2011,Norwegian con story that escalates rapidly into a survival thriller.
Children of Men,2006,Unusually propulsive dystopian science fiction with concrete stakes.
The Rescue,2021,Meticulously structured Thai cave-rescue documentary.
Inside Man,2006,Clever bank-heist puzzle directed by Spike Lee.
Three Identical Strangers,2018,Documentary mystery that expands into a disturbing human experiment.
Beyond the Infinite Two Minutes,2020,Ingenious 70-minute time-loop comedy that rigorously exploits its premise.
Network,1976,Furious media satire in the Dr. Strangelove and Thank You for Smoking lineage.
Dog Day Afternoon,1975,Sidney Lumet's escalating real-time bank-robbery pressure cooker.
Ex Machina,2014,Controlled high-concept science fiction rather than atmosphere-first sci-fi.
The Body,2012,Missing-corpse mystery from the director of The Invisible Guest.
A Few Good Men,1992,Highly accessible courtroom drama powered by argument and institutional conflict.
Spotlight,2015,Disciplined investigative procedural about assembling a systemic case.
The Call,2020,Time-communication thriller that continually develops its causal mechanics.
Infernal Affairs,2002,Compact undercover crime thriller that inspired The Departed.
The Fog of War,2003,"War, biography and political analysis in documentary form."
Come and See,1985,Devastating Soviet war film; exceptional but deliberately punishing.
Downfall,2004,Claustrophobic historical drama about institutional collapse inside Hitler's bunker.
The Outfit,2022,Contained crime puzzle driven by bluffing and concealed allegiances.
In the Loop,2009,Densely written bureaucratic farce from Armando Iannucci.
Miller's Crossing,1990,Intricate organized-crime plotting with Coen dialogue.
Four Lions,2010,Exceptionally dark ideological satire from Chris Morris.
Gattaca,1997,"Clean, rules-based science-fiction premise with institutional conflict."
Yojimbo,1961,Cynical strategic comedy about manipulating rival criminal factions.
The Great Escape,1963,Accessible war adventure structured around planning and execution.
The Guilty,2018,Information-driven thriller constructed almost entirely through calls.
Black Bag,2025,Cerebral espionage chamber drama built around suspicion and competing explanations.
The Raid: Redemption,2011,"Outstanding pure action, though less aligned with my strongest preferences."
Rope,1948,"Compact Hitchcock thriller about concealment, arrogance and mounting suspicion."
